pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2022000657,1,1,2,802,,,9999,,,,,,51,2022,2,56,4,1,6,3,1,3,0,1,1,2,3,1,2,2,9,9,9,4,3,9,4,42,422,25,31,2,194077,659834
2022000662,1,1,3,0,,,,,553,562,86,4080,51,2022,6,30,4,1,6,2,2,0,3,3,1,2,3,1,1,1,9,9,9,0,0,9,4,41,411,99,99,1,192248,685329
2022000674,1,1,2,7400,932,,9999,,,,,,51,2022,12,66,4,1,2,3,4,0,4,1,1,3,3,1,1,1,9,9,9,0,0,9,4,41,411,0,13,3,186455,688281
2022000695,1,1,3,0,,,,,85,0,96,3772,12,2022,5,87,4,5,4,3,2,0,3,5,1,4,3,3,1,1,9,9,9,0,0,9,2,24,246,99,99,1,217360,757495
2022000700,1,1,1,9000,1220,,,,,,,,34,2022,9,58,4,1,5,3,2,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,6,62,623,0,13,3,181822,575802
2022000705,1,1,2,4000,802,,27,,,,,,11,2022,10,43,4,1,7,3,10,1,0,1,1,1,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,199121,746853
2022000712,1,1,2,7400,1015,,9999,,,,,,51,2022,9,67,4,1,5,3,4,3,0,1,1,4,4,1,1,1,9,9,9,0,0,9,4,41,411,0,13,3,187061,687340
2022000716,1,1,3,0,,,,,4,651,1645,369,12,2022,6,78,4,1,7,3,2,0,2,5,1,4,3,1,1,1,9,9,9,0,0,9,3,32,324,99,99,1,192720,709631
2022000717,1,1,4,0,,,,,90,0,738,,33,2022,11,58,4,1,2,1,5,3,0,5,1,2,4,1,1,1,9,9,9,0,0,9,6,62,625,99,99,1,212320,442954
2022000720,1,2,4,0,,,,,60,0,1286,,41,2022,1,67,4,1,4,3,4,2,0,4,1,2,3,1,2,2,9,9,9,0,0,9,7,77,777,99,99,1,223589,664404
2022000729,1,2,2,3800,,,9999,,,,,,43,2022,8,43,4,1,7,2,1,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,7,77,777,,29,2,219004,644999
2022000732,1,1,4,0,,,,,6,0,916,,38,2022,1,9,4,5,3,1,3,0,2,7,1,3,4,4,1,1,9,9,9,0,0,9,6,61,611,99,99,1,183075,625065
2022000733,1,1,1,6200,216,201,,90023,,,,,20,2022,9,49,4,1,2,3,2,1,0,1,1,1,3,1,1,1,9,9,9,0,0,9,5,51,513,0,14,1,175667,658910
2022000747,1,1,2,6600,911,,9999,,,,,,20,2022,10,57,4,1,1,3,1,0,3,1,1,2,5,1,1,1,9,9,9,0,0,9,5,51,513,0,14,3,177933,658032
2022000756,1,2,4,0,,,,,55,0,202,,41,2022,11,65,4,1,1,3,3,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,207140,676162
